edge_id,from_node,to_node,length_km,road_type,lanes,free_speed_kmh,is_market_road,base_travel_time_min,criticality_rho,is_highway,is_feeder
32,7,36,1.301,primary,2,41.5,True,1.88,0.1518,False,False
33,8,4,1.195,residential,1,25.9,True,2.77,0.0298,False,True
34,8,5,1.486,primary,2,40.3,True,2.21,0.0476,False,True
35,8,16,1.764,primary,2,37.4,False,2.83,0.0446,False,True
36,8,7,2.279,residential,1,23.8,True,5.74,0.0,False,True
37,8,31,2.219,residential,1,25.3,False,5.26,0.0833,False,True
38,9,20,0.483,residential,1,24.2,False,1.19,0.003,False,False
39,9,38,0.566,residential,1,26.9,False,1.26,0.003,False,False
40,9,25,0.484,residential,1,22.9,False,1.27,0.006,False,False
41,9,40,1.122,residential,1,25.5,False,2.64,0.0,False,False
42,9,1,1.444,primary,2,41.3,False,2.1,0.1042,False,False
43,9,37,2.0,primary,2,40.4,False,2.97,0.0,False,False
44,10,39,0.497,primary,2,41.7,False,0.72,0.0119,False,False
45,10,2,0.624,residential,1,26.2,False,1.43,0.1369,False,False
46,10,35,1.336,residential,1,25.8,False,3.11,0.0,False,False
47,10,19,1.865,primary,2,38.9,False,2.87,0.256,False,False
48,11,32,0.843,residential,1,27.4,False,1.85,0.006,False,True
49,11,3,0.824,residential,1,24.7,False,2.0,0.2976,False,True
50,11,22,1.544,residential,1,25.8,False,3.58,0.0,False,True
51,11,33,1.824,primary,2,40.0,False,2.74,0.125,False,True
52,11,15,2.303,residential,1,22.7,False,6.08,0.0,False,True
53,12,27,0.075,residential,1,27.1,True,0.17,0.0625,False,False
54,12,36,0.257,primary,2,43.4,True,0.36,0.8274,False,False
55,12,17,1.079,residential,1,27.3,False,2.37,0.0,False,False
56,12,26,1.489,primary,2,39.1,False,2.29,0.4762,False,True
57,12,7,1.338,residential,1,23.3,True,3.44,0.0,False,False
58,13,34,0.355,residential,1,27.2,True,0.78,0.7083,False,False
59,13,6,1.197,primary,2,41.4,True,1.74,0.0625,False,True
60,13,28,1.308,primary,2,38.4,False,2.05,0.0833,False,False
61,13,15,1.548,residential,1,23.2,True,4.01,0.0,False,True
62,13,3,1.727,residential,1,24.0,False,4.32,0.0,False,True
63,13,19,1.597,primary,2,40.9,False,2.34,0.1875,False,False
64,14,19,0.299,residential,1,26.5,False,0.68,0.0923,False,False
65,14,28,0.826,residential,1,26.5,False,1.87,0.003,False,False
66,14,18,0.717,residential,1,24.4,False,1.76,0.003,False,False
67,14,39,1.518,residential,1,22.7,False,4.01,0.003,False,False
68,14,10,2.167,primary,2,38.3,False,3.4,0.0149,False,False
69,14,13,2.391,primary,2,36.3,False,3.95,0.0,False,False
70,15,34,1.379,residential,1,24.1,True,3.43,0.0179,False,True
71,15,6,1.369,trunk,2,59.0,True,1.39,0.0238,True,False
72,15,27,1.345,residential,1,23.5,True,3.44,0.0,False,True
73,15,13,1.219,residential,1,23.2,True,3.15,0.0268,False,True
74,15,12,1.167,residential,1,26.1,True,2.69,0.6667,False,True
75,16,4,1.112,residential,1,26.2,True,2.54,0.006,False,True
76,16,7,1.432,primary,2,36.6,True,2.34,0.0714,False,True
77,16,8,1.724,residential,1,22.8,False,4.54,0.0,False,True
78,16,31,1.485,residential,1,23.7,False,3.76,0.3452,False,True
79,16,26,2.206,trunk,2,58.7,False,2.25,0.1429,True,False
80,16,5,2.344,primary,2,41.3,True,3.41,0.0417,False,True
81,17,24,0.678,residential,1,23.7,False,1.71,0.0417,False,False
82,17,36,0.656,residential,1,22.6,False,1.74,0.1845,False,False
83,17,12,1.08,primary,2,36.3,False,1.78,0.1488,False,False
84,17,27,0.847,residential,1,24.9,False,2.04,0.0,False,False
85,18,14,0.833,residential,1,23.4,False,2.14,0.003,False,False
86,18,19,1.186,residential,1,25.6,False,2.78,0.003,False,False
87,18,28,1.378,primary,2,39.0,False,2.12,0.0893,False,False
88,18,39,2.255,primary,2,42.9,False,3.16,0.0208,False,False
89,19,14,0.297,residential,1,26.8,False,0.66,0.1131,False,False
90,19,28,0.579,residential,1,25.9,False,1.34,0.0089,False,False
91,19,18,1.269,primary,2,42.5,False,1.79,0.0655,False,False
92,19,39,1.595,residential,1,26.6,False,3.6,0.0327,False,False
93,19,13,1.699,primary,2,38.2,False,2.67,0.3452,False,False
94,19,10,2.156,primary,2,36.3,False,3.56,0.125,False,False
95,20,38,0.401,primary,2,38.6,False,0.62,0.1131,False,False
96,20,9,0.404,primary,2,42.5,False,0.57,0.1131,False,False
97,20,25,0.474,primary,2,41.6,False,0.68,0.1131,False,False
98,20,40,1.475,residential,1,26.2,False,3.38,0.0,False,False
99,20,1,1.524,primary,2,37.4,False,2.44,0.003,False,False
100,20,37,1.434,residential,1,27.5,False,3.13,0.0,False,False
101,21,29,0.346,primary,2,40.6,False,0.51,0.003,False,True
102,21,30,0.871,residential,1,23.7,False,2.21,0.003,False,True
103,21,8,3.236,residential,1,23.7,False,8.2,0.0,False,True
104,21,31,3.311,primary,2,40.0,False,4.97,0.0595,False,True
105,21,5,3.335,trunk,4,55.2,True,3.63,0.2202,True,False
106,22,3,0.618,residential,1,23.0,False,1.62,0.0179,False,True
107,22,11,1.387,residential,1,27.3,False,3.05,0.0,False,True
108,22,34,1.593,residential,1,24.7,False,3.86,0.0655,False,False
109,22,13,2.296,primary,2,41.4,False,3.33,0.0327,False,False
110,23,5,1.554,residential,1,23.1,True,4.04,0.2083,False,True
111,23,35,1.235,residential,1,27.5,False,2.7,0.1369,False,False
112,23,2,2.147,residential,1,25.2,False,5.11,0.0,False,False
113,23,6,2.575,residential,1,25.9,True,5.96,0.2024,False,True
114,23,39,2.244,residential,1,26.7,False,5.05,0.122,False,False
115,23,10,2.829,primary,2,39.2,False,4.33,0.247,False,False
116,24,17,0.86,primary,2,36.7,False,1.41,0.0774,False,False
117,24,36,1.679,residential,1,24.4,False,4.14,0.0,False,False
118,24,12,1.83,residential,1,27.4,False,4.0,0.0,False,False
119,24,33,1.864,residential,1,22.9,False,4.88,0.4613,False,False
120,24,27,2.002,residential,1,24.6,False,4.88,0.0,False,False
121,25,20,0.433,residential,1,23.8,False,1.09,0.006,False,False
122,25,9,0.619,residential,1,26.2,False,1.42,0.003,False,False
123,25,38,0.843,residential,1,26.2,False,1.93,0.0,False,False
124,25,40,0.876,primary,2,39.2,False,1.34,0.0089,False,False
125,25,37,1.325,primary,2,40.2,False,1.98,0.2054,False,False
126,25,1,1.404,residential,1,27.4,False,3.07,0.0,False,False
127,26,36,1.313,residential,1,25.1,False,3.13,0.0,False,True
128,26,12,1.551,primary,2,40.4,False,2.3,0.2857,False,True
129,26,7,1.455,residential,1,25.6,True,3.4,0.4524,False,True
130,26,27,1.414,residential,1,25.6,False,3.31,0.0,False,True
131,26,17,1.311,residential,1,22.7,False,3.46,0.0238,False,True
132,26,37,1.616,residential,1,27.0,False,3.6,0.6875,False,True
133,27,12,0.078,primary,2,37.5,True,0.13,0.247,False,False
134,27,36,0.286,residential,1,25.4,True,0.67,0.0,False,False
135,27,17,1.09,residential,1,27.4,False,2.38,0.0,False,False
136,27,7,1.457,residential,1,24.0,True,3.63,0.0,False,False
137,28,19,0.662,primary,2,36.6,False,1.08,0.0238,False,False
138,28,14,0.834,residential,1,25.4,False,1.97,0.0,False,False
139,28,18,1.339,primary,2,43.0,False,1.87,0.0476,False,False
140,28,13,1.565,primary,2,39.3,False,2.39,0.244,False,False
141,29,21,0.313,residential,1,23.3,False,0.81,0.1131,False,True
142,29,30,1.263,residential,1,27.3,False,2.77,0.003,False,False
143,29,8,3.256,residential,1,24.8,False,7.86,0.0,False,True
144,29,31,4.121,primary,2,36.5,False,6.78,0.0,False,False
145,29,5,4.712,residential,1,27.5,True,10.28,0.0,False,True
146,30,21,0.896,residential,1,26.1,False,2.06,0.1726,False,True
147,30,29,0.98,residential,1,23.7,False,2.48,0.1131,False,False
148,30,31,2.723,primary,2,38.2,False,4.28,0.0476,False,False
149,30,8,2.848,residential,1,26.3,False,6.5,0.003,False,True
150,31,16,1.787,primary,2,41.4,False,2.59,0.1458,False,True
151,31,8,2.196,residential,1,25.1,False,5.25,0.003,False,True
152,31,4,2.989,primary,2,40.5,True,4.43,0.0089,False,False
153,31,30,2.503,primary,2,37.1,False,4.05,0.3304,False,False
154,31,7,3.41,residential,1,25.6,True,7.99,0.0,False,False
155,31,5,2.66,primary,2,37.1,True,4.3,0.0476,False,True
156,32,11,0.866,residential,1,25.7,False,2.02,0.003,False,True
157,32,33,1.251,primary,2,41.8,False,1.79,0.0714,False,True
158,32,3,1.585,residential,1,27.1,False,3.51,0.0327,False,True
159,32,22,2.39,primary,2,41.6,False,3.45,0.003,False,True
160,32,15,2.647,trunk,2,57.6,False,2.76,0.0714,True,False
161,33,32,1.143,residential,1,25.0,False,2.75,0.131,False,True
162,33,24,1.393,residential,1,23.7,False,3.53,0.0149,False,False
163,33,11,1.526,primary,2,37.0,False,2.47,0.3125,False,True
164,33,17,1.917,primary,2,41.1,False,2.8,0.1994,False,False
165,34,13,0.457,residential,1,24.9,True,1.1,0.0298,False,False
166,34,15,0.995,primary,2,37.5,True,1.59,0.6339,False,True
167,34,3,1.195,primary,2,38.2,False,1.88,0.2411,False,True
168,34,6,1.476,primary,2,37.0,True,2.4,0.003,False,True
169,35,2,0.664,residential,1,23.1,False,1.72,0.0774,False,False
170,35,10,1.29,residential,1,23.0,False,3.37,0.0,False,False
171,35,23,1.296,residential,1,25.1,False,3.1,0.0625,False,False
172,35,39,1.733,residential,1,22.5,False,4.62,0.0,False,False
173,35,19,3.109,primary,2,40.8,False,4.57,0.0446,False,False
174,36,12,0.277,residential,1,24.9,True,0.67,0.006,False,False
175,36,27,0.378,residential,1,24.8,True,0.91,0.0,False,False
176,36,17,0.841,primary,2,38.0,False,1.33,0.0744,False,False
177,36,26,1.111,residential,1,25.1,False,2.66,0.0238,False,True
178,36,7,1.381,primary,2,39.6,True,2.09,0.5774,False,False
179,36,24,1.419,primary,2,38.2,False,2.23,0.4821,False,False
180,37,1,0.304,residential,1,26.7,False,0.68,0.4107,False,False
181,37,40,1.148,residential,1,23.7,False,2.91,0.1012,False,False
182,37,25,1.441,residential,1,24.3,False,3.56,0.1012,False,False
183,37,20,1.627,residential,1,25.4,False,3.84,0.0,False,False
184,37,26,1.687,residential,1,25.4,False,3.98,0.6875,False,True
185,38,20,0.373,primary,2,38.9,False,0.58,0.0089,False,False
186,38,9,0.608,residential,1,24.3,False,1.5,0.0,False,False
187,38,25,0.661,residential,1,23.7,False,1.67,0.0,False,False
188,38,1,1.393,primary,2,38.0,False,2.2,0.1042,False,False
189,38,40,1.446,primary,2,38.3,False,2.27,0.003,False,False
190,39,10,0.448,residential,1,22.8,False,1.18,0.006,False,False
191,39,2,1.042,residential,1,27.5,False,2.27,0.0476,False,False
192,39,19,1.206,residential,1,27.1,False,2.67,0.006,False,False
193,39,35,1.645,residential,1,25.0,False,3.96,0.0,False,False
194,39,14,1.56,residential,1,26.1,False,3.59,0.0,False,False
195,39,28,1.794,primary,2,42.7,False,2.52,0.131,False,False
196,40,25,0.886,residential,1,24.6,False,2.16,0.003,False,False
197,40,37,1.279,primary,2,36.9,False,2.08,0.1042,False,False
198,40,20,1.133,primary,2,40.6,False,1.67,0.0089,False,False
199,40,9,1.146,residential,1,25.2,False,2.73,0.0,False,False
200,40,1,1.204,residential,1,23.2,False,3.12,0.0,False,False
