edge_id,gamma,reliability_class,phi_braess,vulnerability_class
142,0.4,low,0.0,standard
143,0.4,low,0.653,feeder
144,0.25,medium,0.0,standard
145,0.6,low,0.519,feeder
146,0.4,low,0.665,feeder
147,0.4,low,0.0,standard
148,0.25,medium,0.0,standard
149,0.4,low,0.29,feeder
150,0.25,medium,0.338,feeder
151,0.4,low,0.27,feeder
152,0.375,low,0.0,standard
153,0.25,medium,0.0,standard
154,0.6,low,0.0,standard
155,0.375,low,0.396,feeder
156,0.4,low,0.425,feeder
157,0.25,medium,0.372,feeder
158,0.4,low,0.623,feeder
159,0.25,medium,0.411,feeder
160,0.25,medium,0.0,highway
161,0.4,low,0.376,feeder
162,0.4,low,0.0,standard
163,0.25,medium,0.494,feeder
164,0.25,medium,0.0,standard
165,0.6,low,0.0,standard
166,0.375,low,0.313,feeder
167,0.25,medium,0.611,feeder
168,0.375,low,0.284,feeder
169,0.4,low,0.0,standard
170,0.4,low,0.0,standard
171,0.4,low,0.0,standard
172,0.4,low,0.0,standard
173,0.25,medium,0.0,standard
174,0.6,low,0.0,standard
175,0.6,low,0.0,standard
176,0.25,medium,0.0,standard
177,0.4,low,0.694,feeder
178,0.375,low,0.0,standard
179,0.25,medium,0.0,standard
180,0.4,low,0.0,standard
181,0.4,low,0.0,standard
182,0.4,low,0.0,standard
183,0.4,low,0.0,standard
184,0.4,low,0.598,feeder
185,0.25,medium,0.0,standard
186,0.4,low,0.0,standard
187,0.4,low,0.0,standard
188,0.25,medium,0.0,standard
189,0.25,medium,0.0,standard
190,0.4,low,0.0,standard
191,0.4,low,0.0,standard
192,0.4,low,0.0,standard
193,0.4,low,0.0,standard
194,0.4,low,0.0,standard
195,0.25,medium,0.0,standard
196,0.4,low,0.0,standard
197,0.25,medium,0.0,standard
198,0.25,medium,0.0,standard
199,0.4,low,0.0,standard
200,0.4,low,0.0,standard
