edge_id,from_node,to_node,time_period,start_hour,end_hour,base_travel_time_min,congestion_multiplier,actual_travel_time_min
11,3,11,morning_peak,6,9,1.26,1.0,0.93
11,3,11,midday,9,15,1.26,1.0,0.93
11,3,11,evening_peak,15,19,1.26,1.0,0.93
11,3,11,late_evening,19,24,1.26,1.0,0.93
12,3,34,night,0,6,3.21,1.0,3.21
12,3,34,morning_peak,6,9,3.21,1.5,4.81
12,3,34,midday,9,15,3.21,1.2,3.85
12,3,34,evening_peak,15,19,3.21,1.6,5.14
12,3,34,late_evening,19,24,3.21,1.1,3.53
13,3,32,night,0,6,2.76,1.0,2.76
13,3,32,morning_peak,6,9,2.76,1.5,4.14
13,3,32,midday,9,15,2.76,1.2,3.31
13,3,32,evening_peak,15,19,2.76,1.6,4.42
13,3,32,late_evening,19,24,2.76,1.1,3.04
14,3,13,night,0,6,3.14,1.0,3.14
14,3,13,morning_peak,6,9,3.14,1.5,4.71
14,3,13,midday,9,15,3.14,1.2,3.77
14,3,13,evening_peak,15,19,3.14,1.6,5.02
14,3,13,late_evening,19,24,3.14,1.1,3.45
15,4,7,night,0,6,1.47,1.0,1.47
15,4,7,morning_peak,6,9,1.47,2.3,3.38
15,4,7,midday,9,15,1.47,1.8,2.65
15,4,7,evening_peak,15,19,1.47,2.5,3.67
15,4,7,late_evening,19,24,1.47,1.2,1.76
16,4,8,night,0,6,1.27,1.0,1.27
16,4,8,morning_peak,6,9,1.27,2.3,2.92
16,4,8,midday,9,15,1.27,1.8,2.29
16,4,8,evening_peak,15,19,1.27,2.5,3.17
16,4,8,late_evening,19,24,1.27,1.2,1.52
17,4,16,night,0,6,2.67,1.0,2.67
17,4,16,morning_peak,6,9,2.67,2.3,6.14
17,4,16,midday,9,15,2.67,1.8,4.81
17,4,16,evening_peak,15,19,2.67,2.5,6.67
17,4,16,late_evening,19,24,2.67,1.2,3.2
18,4,5,night,0,6,3.25,1.0,3.25
18,4,5,morning_peak,6,9,3.25,2.3,7.47
18,4,5,midday,9,15,3.25,1.8,5.85
18,4,5,evening_peak,15,19,3.25,2.5,8.12
18,4,5,late_evening,19,24,3.25,1.2,3.9
19,4,27,night,0,6,2.77,1.0,2.77
19,4,27,morning_peak,6,9,2.77,2.3,6.37
19,4,27,midday,9,15,2.77,1.8,4.99
19,4,27,evening_peak,15,19,2.77,2.5,6.92
19,4,27,late_evening,19,24,2.77,1.2,3.32
20,5,4,night,0,6,2.97,1.0,2.97
20,5,4,morning_peak,6,9,2.97,2.3,6.83
20,5,4,midday,9,15,2.97,1.8,5.35
20,5,4,evening_peak,15,19,2.97,2.5,7.43
20,5,4,late_evening,19,24,2.97,1.2,3.56
21,5,23,night,0,6,2.08,1.0,2.08
21,5,23,morning_peak,6,9,2.08,2.3,4.78
21,5,23,midday,9,15,2.08,1.8,3.74
21,5,23,evening_peak,15,19,2.08,2.5,5.2
21,5,23,late_evening,19,24,2.08,1.2,2.5
22,5,8,night,0,6,1.7,1.0,1.26
22,5,8,morning_peak,6,9,1.7,1.0,1.26
22,5,8,midday,9,15,1.7,1.0,1.26
22,5,8,evening_peak,15,19,1.7,1.0,1.26
22,5,8,late_evening,19,24,1.7,1.0,1.26
23,5,7,night,0,6,3.6,1.0,3.6
23,5,7,morning_peak,6,9,3.6,2.3,8.28
23,5,7,midday,9,15,3.6,1.8,6.48
23,5,7,evening_peak,15,19,3.6,2.5,9.0
23,5,7,late_evening,19,24,3.6,1.2,4.32
24,6,13,night,0,6,2.98,1.0,2.98
24,6,13,morning_peak,6,9,2.98,2.3,6.85
24,6,13,midday,9,15,2.98,1.8,5.36
24,6,13,evening_peak,15,19,2.98,2.5,7.45
24,6,13,late_evening,19,24,2.98,1.2,3.58
25,6,27,night,0,6,3.31,1.0,3.31
25,6,27,morning_peak,6,9,3.31,2.3,7.61
25,6,27,midday,9,15,3.31,1.8,5.96
25,6,27,evening_peak,15,19,3.31,2.5,8.28
25,6,27,late_evening,19,24,3.31,1.2,3.97
26,6,15,night,0,6,1.92,1.0,1.92
26,6,15,morning_peak,6,9,1.92,2.3,4.42
26,6,15,midday,9,15,1.92,1.8,3.46
26,6,15,evening_peak,15,19,1.92,2.5,4.8
26,6,15,late_evening,19,24,1.92,1.2,2.3
27,6,12,night,0,6,4.1,1.0,4.1
27,6,12,morning_peak,6,9,4.1,2.3,9.43
27,6,12,midday,9,15,4.1,1.8,7.38
27,6,12,evening_peak,15,19,4.1,2.5,10.25
27,6,12,late_evening,19,24,4.1,1.2,4.92
28,7,4,night,0,6,2.43,1.0,2.43
28,7,4,morning_peak,6,9,2.43,2.3,5.59
28,7,4,midday,9,15,2.43,1.8,4.37
28,7,4,evening_peak,15,19,2.43,2.5,6.08
28,7,4,late_evening,19,24,2.43,1.2,2.92
29,7,27,night,0,6,2.71,1.0,2.71
29,7,27,morning_peak,6,9,2.71,2.3,6.23
29,7,27,midday,9,15,2.71,1.8,4.88
29,7,27,evening_peak,15,19,2.71,2.5,6.78
29,7,27,late_evening,19,24,2.71,1.2,3.25
30,7,12,night,0,6,2.45,1.0,2.45
30,7,12,morning_peak,6,9,2.45,2.3,5.63
30,7,12,midday,9,15,2.45,1.8,4.41
30,7,12,evening_peak,15,19,2.45,2.5,6.12
30,7,12,late_evening,19,24,2.45,1.2,2.94
31,7,26,night,0,6,3.62,1.0,3.62
31,7,26,morning_peak,6,9,3.62,2.3,8.33
31,7,26,midday,9,15,3.62,1.8,6.52
31,7,26,evening_peak,15,19,3.62,2.5,9.05
31,7,26,late_evening,19,24,3.62,1.2,4.34
32,7,36,night,0,6,1.88,1.0,1.88
32,7,36,morning_peak,6,9,1.88,2.3,4.32
32,7,36,midday,9,15,1.88,1.8,3.38
32,7,36,evening_peak,15,19,1.88,2.5,4.7
32,7,36,late_evening,19,24,1.88,1.2,2.26
33,8,4,night,0,6,2.77,1.0,2.77
33,8,4,morning_peak,6,9,2.77,2.3,6.37
33,8,4,midday,9,15,2.77,1.8,4.99
33,8,4,evening_peak,15,19,2.77,2.5,6.92
33,8,4,late_evening,19,24,2.77,1.2,3.32
34,8,5,night,0,6,2.21,1.0,2.21
34,8,5,morning_peak,6,9,2.21,2.3,5.08
34,8,5,midday,9,15,2.21,1.8,3.98
34,8,5,evening_peak,15,19,2.21,2.5,5.53
34,8,5,late_evening,19,24,2.21,1.2,2.65
35,8,16,night,0,6,2.83,1.0,2.83
35,8,16,morning_peak,6,9,2.83,1.5,4.25
35,8,16,midday,9,15,2.83,1.2,3.4
35,8,16,evening_peak,15,19,2.83,1.6,4.53
35,8,16,late_evening,19,24,2.83,1.1,3.11
36,8,7,night,0,6,5.74,1.0,5.74
36,8,7,morning_peak,6,9,5.74,2.3,13.2
36,8,7,midday,9,15,5.74,1.8,10.33
36,8,7,evening_peak,15,19,5.74,2.5,14.35
36,8,7,late_evening,19,24,5.74,1.2,6.89
37,8,31,night,0,6,5.26,1.0,5.26
37,8,31,morning_peak,6,9,5.26,1.5,7.89
37,8,31,midday,9,15,5.26,1.2,6.31
37,8,31,evening_peak,15,19,5.26,1.6,8.42
37,8,31,late_evening,19,24,5.26,1.1,5.79
38,9,20,night,0,6,1.19,1.0,1.19
38,9,20,morning_peak,6,9,1.19,1.5,1.78
38,9,20,midday,9,15,1.19,1.2,1.43
38,9,20,evening_peak,15,19,1.19,1.6,1.9
38,9,20,late_evening,19,24,1.19,1.1,1.31
39,9,38,night,0,6,1.26,1.0,1.26
39,9,38,morning_peak,6,9,1.26,1.5,1.89
39,9,38,midday,9,15,1.26,1.2,1.51
39,9,38,evening_peak,15,19,1.26,1.6,2.02
39,9,38,late_evening,19,24,1.26,1.1,1.39
40,9,25,night,0,6,1.27,1.0,1.27
40,9,25,morning_peak,6,9,1.27,1.5,1.91
40,9,25,midday,9,15,1.27,1.2,1.52
40,9,25,evening_peak,15,19,1.27,1.6,2.03
40,9,25,late_evening,19,24,1.27,1.1,1.4
41,9,40,night,0,6,2.64,1.0,2.64
41,9,40,morning_peak,6,9,2.64,1.5,3.96
41,9,40,midday,9,15,2.64,1.2,3.17
41,9,40,evening_peak,15,19,2.64,1.6,4.22
41,9,40,late_evening,19,24,2.64,1.1,2.9
42,9,1,night,0,6,2.1,1.0,2.1
42,9,1,morning_peak,6,9,2.1,1.5,3.15
42,9,1,midday,9,15,2.1,1.2,2.52
42,9,1,evening_peak,15,19,2.1,1.6,3.36
42,9,1,late_evening,19,24,2.1,1.1,2.31
43,9,37,night,0,6,2.97,1.0,2.97
43,9,37,morning_peak,6,9,2.97,1.5,4.46
43,9,37,midday,9,15,2.97,1.2,3.56
43,9,37,evening_peak,15,19,2.97,1.6,4.75
43,9,37,late_evening,19,24,2.97,1.1,3.27
44,10,39,night,0,6,0.72,1.0,0.72
44,10,39,morning_peak,6,9,0.72,1.5,1.08
44,10,39,midday,9,15,0.72,1.2,0.86
44,10,39,evening_peak,15,19,0.72,1.6,1.15
44,10,39,late_evening,19,24,0.72,1.1,0.79
45,10,2,night,0,6,1.43,1.0,1.43
45,10,2,morning_peak,6,9,1.43,1.5,2.15
45,10,2,midday,9,15,1.43,1.2,1.72
45,10,2,evening_peak,15,19,1.43,1.6,2.29
45,10,2,late_evening,19,24,1.43,1.1,1.57
46,10,35,night,0,6,3.11,1.0,3.11
46,10,35,morning_peak,6,9,3.11,1.5,4.67
46,10,35,midday,9,15,3.11,1.2,3.73
46,10,35,evening_peak,15,19,3.11,1.6,4.98
46,10,35,late_evening,19,24,3.11,1.1,3.42
47,10,19,night,0,6,2.87,1.0,2.87
47,10,19,morning_peak,6,9,2.87,1.5,4.3
47,10,19,midday,9,15,2.87,1.2,3.44
47,10,19,evening_peak,15,19,2.87,1.6,4.59
47,10,19,late_evening,19,24,2.87,1.1,3.16
48,11,32,night,0,6,1.85,1.0,1.85
48,11,32,morning_peak,6,9,1.85,1.5,2.78
48,11,32,midday,9,15,1.85,1.2,2.22
48,11,32,evening_peak,15,19,1.85,1.6,2.96
48,11,32,late_evening,19,24,1.85,1.1,2.04
49,11,3,night,0,6,2.0,1.0,2.0
49,11,3,morning_peak,6,9,2.0,1.5,3.0
49,11,3,midday,9,15,2.0,1.2,2.4
49,11,3,evening_peak,15,19,2.0,1.6,3.2
49,11,3,late_evening,19,24,2.0,1.1,2.2
50,11,22,night,0,6,3.58,1.0,3.58
50,11,22,morning_peak,6,9,3.58,1.5,5.37
50,11,22,midday,9,15,3.58,1.2,4.3
50,11,22,evening_peak,15,19,3.58,1.6,5.73
50,11,22,late_evening,19,24,3.58,1.1,3.94
51,11,33,night,0,6,2.74,1.0,2.74
51,11,33,morning_peak,6,9,2.74,1.5,4.11
51,11,33,midday,9,15,2.74,1.2,3.29
51,11,33,evening_peak,15,19,2.74,1.6,4.38
51,11,33,late_evening,19,24,2.74,1.1,3.01
52,11,15,night,0,6,6.08,1.0,6.08
52,11,15,morning_peak,6,9,6.08,1.5,9.12
52,11,15,midday,9,15,6.08,1.2,7.3
52,11,15,evening_peak,15,19,6.08,1.6,9.73
52,11,15,late_evening,19,24,6.08,1.1,6.69
53,12,27,night,0,6,0.17,1.0,0.17
53,12,27,morning_peak,6,9,0.17,2.3,0.39
53,12,27,midday,9,15,0.17,1.8,0.31
53,12,27,evening_peak,15,19,0.17,2.5,0.43
53,12,27,late_evening,19,24,0.17,1.2,0.2
54,12,36,night,0,6,0.36,1.0,0.36
54,12,36,morning_peak,6,9,0.36,2.3,0.83
54,12,36,midday,9,15,0.36,1.8,0.65
54,12,36,evening_peak,15,19,0.36,2.5,0.9
54,12,36,late_evening,19,24,0.36,1.2,0.43
55,12,17,night,0,6,2.37,1.0,2.37
55,12,17,morning_peak,6,9,2.37,1.5,3.56
55,12,17,midday,9,15,2.37,1.2,2.84
55,12,17,evening_peak,15,19,2.37,1.6,3.79
55,12,17,late_evening,19,24,2.37,1.1,2.61
56,12,26,night,0,6,2.29,1.0,2.29
56,12,26,morning_peak,6,9,2.29,1.5,3.44
56,12,26,midday,9,15,2.29,1.2,2.75
56,12,26,evening_peak,15,19,2.29,1.6,3.66
56,12,26,late_evening,19,24,2.29,1.1,2.52
57,12,7,night,0,6,3.44,1.0,3.44
57,12,7,morning_peak,6,9,3.44,2.3,7.91
57,12,7,midday,9,15,3.44,1.8,6.19
57,12,7,evening_peak,15,19,3.44,2.5,8.6
57,12,7,late_evening,19,24,3.44,1.2,4.13
58,13,34,night,0,6,0.78,1.0,0.78
58,13,34,morning_peak,6,9,0.78,2.3,1.79
58,13,34,midday,9,15,0.78,1.8,1.4
58,13,34,evening_peak,15,19,0.78,2.5,1.95
58,13,34,late_evening,19,24,0.78,1.2,0.94
59,13,6,night,0,6,1.74,1.0,1.74
59,13,6,morning_peak,6,9,1.74,2.3,4.0
59,13,6,midday,9,15,1.74,1.8,3.13
59,13,6,evening_peak,15,19,1.74,2.5,4.35
59,13,6,late_evening,19,24,1.74,1.2,2.09
60,13,28,night,0,6,2.05,1.0,2.05
60,13,28,morning_peak,6,9,2.05,1.5,3.07
60,13,28,midday,9,15,2.05,1.2,2.46
60,13,28,evening_peak,15,19,2.05,1.6,3.28
60,13,28,late_evening,19,24,2.05,1.1,2.25
61,13,15,night,0,6,4.01,1.0,4.01
61,13,15,morning_peak,6,9,4.01,2.3,9.22
61,13,15,midday,9,15,4.01,1.8,7.22
61,13,15,evening_peak,15,19,4.01,2.5,10.02
61,13,15,late_evening,19,24,4.01,1.2,4.81
62,13,3,night,0,6,4.32,1.0,4.32
62,13,3,morning_peak,6,9,4.32,1.5,6.48
62,13,3,midday,9,15,4.32,1.2,5.18
62,13,3,evening_peak,15,19,4.32,1.6,6.91
62,13,3,late_evening,19,24,4.32,1.1,4.75
63,13,19,night,0,6,2.34,1.0,2.34
63,13,19,morning_peak,6,9,2.34,1.5,3.51
63,13,19,midday,9,15,2.34,1.2,2.81
63,13,19,evening_peak,15,19,2.34,1.6,3.74
63,13,19,late_evening,19,24,2.34,1.1,2.57
64,14,19,night,0,6,0.68,1.0,0.68
64,14,19,morning_peak,6,9,0.68,1.5,1.02
64,14,19,midday,9,15,0.68,1.2,0.82
64,14,19,evening_peak,15,19,0.68,1.6,1.09
64,14,19,late_evening,19,24,0.68,1.1,0.75
65,14,28,night,0,6,1.87,1.0,1.87
65,14,28,morning_peak,6,9,1.87,1.5,2.81
65,14,28,midday,9,15,1.87,1.2,2.24
65,14,28,evening_peak,15,19,1.87,1.6,2.99
65,14,28,late_evening,19,24,1.87,1.1,2.06
66,14,18,night,0,6,1.76,1.0,1.76
66,14,18,morning_peak,6,9,1.76,1.5,2.64
66,14,18,midday,9,15,1.76,1.2,2.11
66,14,18,evening_peak,15,19,1.76,1.6,2.82
66,14,18,late_evening,19,24,1.76,1.1,1.94
67,14,39,night,0,6,4.01,1.0,4.01
67,14,39,morning_peak,6,9,4.01,1.5,6.01
67,14,39,midday,9,15,4.01,1.2,4.81
67,14,39,evening_peak,15,19,4.01,1.6,6.42
67,14,39,late_evening,19,24,4.01,1.1,4.41
68,14,10,night,0,6,3.4,1.0,3.4
68,14,10,morning_peak,6,9,3.4,1.5,5.1
68,14,10,midday,9,15,3.4,1.2,4.08
68,14,10,evening_peak,15,19,3.4,1.6,5.44
68,14,10,late_evening,19,24,3.4,1.1,3.74
69,14,13,night,0,6,3.95,1.0,3.95
69,14,13,morning_peak,6,9,3.95,1.5,5.93
69,14,13,midday,9,15,3.95,1.2,4.74
69,14,13,evening_peak,15,19,3.95,1.6,6.32
69,14,13,late_evening,19,24,3.95,1.1,4.35
70,15,34,night,0,6,3.43,1.0,3.43
70,15,34,morning_peak,6,9,3.43,2.3,7.89
70,15,34,midday,9,15,3.43,1.8,6.17
70,15,34,evening_peak,15,19,3.43,2.5,8.58
70,15,34,late_evening,19,24,3.43,1.2,4.12
71,15,6,night,0,6,1.88,1.0,1.39
71,15,6,morning_peak,6,9,1.88,1.0,1.39
71,15,6,midday,9,15,1.88,1.0,1.39
71,15,6,evening_peak,15,19,1.88,1.0,1.39
71,15,6,late_evening,19,24,1.88,1.0,1.39
72,15,27,night,0,6,3.44,1.0,3.44
72,15,27,morning_peak,6,9,3.44,2.3,7.91
72,15,27,midday,9,15,3.44,1.8,6.19
72,15,27,evening_peak,15,19,3.44,2.5,8.6
72,15,27,late_evening,19,24,3.44,1.2,4.13
73,15,13,night,0,6,3.15,1.0,3.15
73,15,13,morning_peak,6,9,3.15,2.3,7.24
73,15,13,midday,9,15,3.15,1.8,5.67
73,15,13,evening_peak,15,19,3.15,2.5,7.88
73,15,13,late_evening,19,24,3.15,1.2,3.78
74,15,12,night,0,6,2.69,1.0,2.69
74,15,12,morning_peak,6,9,2.69,2.3,6.19
74,15,12,midday,9,15,2.69,1.8,4.84
74,15,12,evening_peak,15,19,2.69,2.5,6.72
74,15,12,late_evening,19,24,2.69,1.2,3.23
75,16,4,night,0,6,2.54,1.0,2.54
75,16,4,morning_peak,6,9,2.54,2.3,5.84
75,16,4,midday,9,15,2.54,1.8,4.57
75,16,4,evening_peak,15,19,2.54,2.5,6.35
75,16,4,late_evening,19,24,2.54,1.2,3.05
76,16,7,night,0,6,2.34,1.0,2.34
76,16,7,morning_peak,6,9,2.34,2.3,5.38
76,16,7,midday,9,15,2.34,1.8,4.21
76,16,7,evening_peak,15,19,2.34,2.5,5.85
76,16,7,late_evening,19,24,2.34,1.2,2.81
77,16,8,night,0,6,4.54,1.0,4.54
77,16,8,morning_peak,6,9,4.54,1.5,6.81
77,16,8,midday,9,15,4.54,1.2,5.45
77,16,8,evening_peak,15,19,4.54,1.6,7.26
77,16,8,late_evening,19,24,4.54,1.1,4.99
78,16,31,night,0,6,3.76,1.0,3.76
78,16,31,morning_peak,6,9,3.76,1.5,5.64
78,16,31,midday,9,15,3.76,1.2,4.51
78,16,31,evening_peak,15,19,3.76,1.6,6.02
78,16,31,late_evening,19,24,3.76,1.1,4.14
79,16,26,night,0,6,3.04,1.0,2.25
79,16,26,morning_peak,6,9,3.04,1.0,2.25
79,16,26,midday,9,15,3.04,1.0,2.25
79,16,26,evening_peak,15,19,3.04,1.0,2.25
79,16,26,late_evening,19,24,3.04,1.0,2.25
80,16,5,night,0,6,3.41,1.0,3.41
80,16,5,morning_peak,6,9,3.41,2.3,7.84
80,16,5,midday,9,15,3.41,1.8,6.14
80,16,5,evening_peak,15,19,3.41,2.5,8.53
80,16,5,late_evening,19,24,3.41,1.2,4.09
81,17,24,night,0,6,1.71,1.0,1.71
81,17,24,morning_peak,6,9,1.71,1.5,2.56
81,17,24,midday,9,15,1.71,1.2,2.05
81,17,24,evening_peak,15,19,1.71,1.6,2.74
81,17,24,late_evening,19,24,1.71,1.1,1.88
82,17,36,night,0,6,1.74,1.0,1.74
82,17,36,morning_peak,6,9,1.74,1.5,2.61
82,17,36,midday,9,15,1.74,1.2,2.09
82,17,36,evening_peak,15,19,1.74,1.6,2.78
82,17,36,late_evening,19,24,1.74,1.1,1.91
83,17,12,night,0,6,1.78,1.0,1.78
83,17,12,morning_peak,6,9,1.78,1.5,2.67
83,17,12,midday,9,15,1.78,1.2,2.14
83,17,12,evening_peak,15,19,1.78,1.6,2.85
83,17,12,late_evening,19,24,1.78,1.1,1.96
84,17,27,night,0,6,2.04,1.0,2.04
84,17,27,morning_peak,6,9,2.04,1.5,3.06
84,17,27,midday,9,15,2.04,1.2,2.45
84,17,27,evening_peak,15,19,2.04,1.6,3.26
84,17,27,late_evening,19,24,2.04,1.1,2.24
85,18,14,night,0,6,2.14,1.0,2.14
85,18,14,morning_peak,6,9,2.14,1.5,3.21
85,18,14,midday,9,15,2.14,1.2,2.57
85,18,14,evening_peak,15,19,2.14,1.6,3.42
85,18,14,late_evening,19,24,2.14,1.1,2.35
86,18,19,night,0,6,2.78,1.0,2.78
86,18,19,morning_peak,6,9,2.78,1.5,4.17
86,18,19,midday,9,15,2.78,1.2,3.34
86,18,19,evening_peak,15,19,2.78,1.6,4.45
86,18,19,late_evening,19,24,2.78,1.1,3.06
87,18,28,night,0,6,2.12,1.0,2.12
87,18,28,morning_peak,6,9,2.12,1.5,3.18
87,18,28,midday,9,15,2.12,1.2,2.54
87,18,28,evening_peak,15,19,2.12,1.6,3.39
87,18,28,late_evening,19,24,2.12,1.1,2.33
88,18,39,night,0,6,3.16,1.0,3.16
88,18,39,morning_peak,6,9,3.16,1.5,4.74
88,18,39,midday,9,15,3.16,1.2,3.79
88,18,39,evening_peak,15,19,3.16,1.6,5.06
88,18,39,late_evening,19,24,3.16,1.1,3.48
89,19,14,night,0,6,0.66,1.0,0.66
89,19,14,morning_peak,6,9,0.66,1.5,0.99
89,19,14,midday,9,15,0.66,1.2,0.79
89,19,14,evening_peak,15,19,0.66,1.6,1.06
89,19,14,late_evening,19,24,0.66,1.1,0.73
90,19,28,night,0,6,1.34,1.0,1.34
90,19,28,morning_peak,6,9,1.34,1.5,2.01
90,19,28,midday,9,15,1.34,1.2,1.61
90,19,28,evening_peak,15,19,1.34,1.6,2.14
90,19,28,late_evening,19,24,1.34,1.1,1.47
91,19,18,night,0,6,1.79,1.0,1.79
91,19,18,morning_peak,6,9,1.79,1.5,2.69
91,19,18,midday,9,15,1.79,1.2,2.15
91,19,18,evening_peak,15,19,1.79,1.6,2.86
91,19,18,late_evening,19,24,1.79,1.1,1.97
92,19,39,night,0,6,3.6,1.0,3.6
92,19,39,morning_peak,6,9,3.6,1.5,5.4
92,19,39,midday,9,15,3.6,1.2,4.32
92,19,39,evening_peak,15,19,3.6,1.6,5.76
92,19,39,late_evening,19,24,3.6,1.1,3.96
93,19,13,night,0,6,2.67,1.0,2.67
93,19,13,morning_peak,6,9,2.67,1.5,4.0
93,19,13,midday,9,15,2.67,1.2,3.2
93,19,13,evening_peak,15,19,2.67,1.6,4.27
93,19,13,late_evening,19,24,2.67,1.1,2.94
94,19,10,night,0,6,3.56,1.0,3.56
94,19,10,morning_peak,6,9,3.56,1.5,5.34
94,19,10,midday,9,15,3.56,1.2,4.27
94,19,10,evening_peak,15,19,3.56,1.6,5.7
94,19,10,late_evening,19,24,3.56,1.1,3.92
95,20,38,night,0,6,0.62,1.0,0.62
95,20,38,morning_peak,6,9,0.62,1.5,0.93
95,20,38,midday,9,15,0.62,1.2,0.74
95,20,38,evening_peak,15,19,0.62,1.6,0.99
95,20,38,late_evening,19,24,0.62,1.1,0.68
96,20,9,night,0,6,0.57,1.0,0.57
96,20,9,morning_peak,6,9,0.57,1.5,0.85
96,20,9,midday,9,15,0.57,1.2,0.68
96,20,9,evening_peak,15,19,0.57,1.6,0.91
96,20,9,late_evening,19,24,0.57,1.1,0.63
97,20,25,night,0,6,0.68,1.0,0.68
97,20,25,morning_peak,6,9,0.68,1.5,1.02
97,20,25,midday,9,15,0.68,1.2,0.82
97,20,25,evening_peak,15,19,0.68,1.6,1.09
97,20,25,late_evening,19,24,0.68,1.1,0.75
98,20,40,night,0,6,3.38,1.0,3.38
98,20,40,morning_peak,6,9,3.38,1.5,5.07
98,20,40,midday,9,15,3.38,1.2,4.06
98,20,40,evening_peak,15,19,3.38,1.6,5.41
98,20,40,late_evening,19,24,3.38,1.1,3.72
99,20,1,night,0,6,2.44,1.0,2.44
99,20,1,morning_peak,6,9,2.44,1.5,3.66
99,20,1,midday,9,15,2.44,1.2,2.93
99,20,1,evening_peak,15,19,2.44,1.6,3.9
99,20,1,late_evening,19,24,2.44,1.1,2.68
100,20,37,night,0,6,3.13,1.0,3.13
100,20,37,morning_peak,6,9,3.13,1.5,4.7
100,20,37,midday,9,15,3.13,1.2,3.76
100,20,37,evening_peak,15,19,3.13,1.6,5.01
100,20,37,late_evening,19,24,3.13,1.1,3.44
101,21,29,night,0,6,0.51,1.0,0.51
101,21,29,morning_peak,6,9,0.51,1.5,0.77
101,21,29,midday,9,15,0.51,1.2,0.61
101,21,29,evening_peak,15,19,0.51,1.6,0.82
101,21,29,late_evening,19,24,0.51,1.1,0.56
102,21,30,night,0,6,2.21,1.0,2.21
102,21,30,morning_peak,6,9,2.21,1.5,3.31
102,21,30,midday,9,15,2.21,1.2,2.65
102,21,30,evening_peak,15,19,2.21,1.6,3.54
102,21,30,late_evening,19,24,2.21,1.1,2.43
103,21,8,night,0,6,8.2,1.0,8.2
103,21,8,morning_peak,6,9,8.2,1.5,12.3
103,21,8,midday,9,15,8.2,1.2,9.84
103,21,8,evening_peak,15,19,8.2,1.6,13.12
103,21,8,late_evening,19,24,8.2,1.1,9.02
104,21,31,night,0,6,4.97,1.0,4.97
104,21,31,morning_peak,6,9,4.97,1.5,7.46
104,21,31,midday,9,15,4.97,1.2,5.96
104,21,31,evening_peak,15,19,4.97,1.6,7.95
104,21,31,late_evening,19,24,4.97,1.1,5.47
105,21,5,night,0,6,3.63,1.0,3.63
105,21,5,morning_peak,6,9,3.63,1.0,3.63
105,21,5,midday,9,15,3.63,1.0,3.63
105,21,5,evening_peak,15,19,3.63,1.0,3.63
105,21,5,late_evening,19,24,3.63,1.0,3.63
106,22,3,night,0,6,1.62,1.0,1.62
