edge_id,fuel_cost_MWK,maintenance_cost_MWK,wage_cost_MWK,total_cost_MWK,cost_per_km_MWK
179,1455.08,78.05,18.95,1552.08,1093.78
180,443.7,21.89,5.78,471.37,1550.56
181,1898.78,82.66,24.73,2006.17,1747.53
182,2322.9,103.75,30.26,2456.91,1705.0
183,2505.6,117.14,32.64,2655.38,1632.07
184,2596.95,121.46,33.83,2752.24,1631.44
185,378.45,20.52,4.93,403.9,1082.84
186,978.75,43.78,12.75,1035.28,1702.76
187,1089.67,47.59,14.2,1151.46,1742.0
188,1435.5,76.61,18.7,1530.81,1098.93
189,1481.18,79.53,19.3,1580.01,1092.68
190,769.95,32.26,10.03,812.24,1813.04
191,1481.18,75.02,19.3,1575.5,1512.0
192,1742.17,86.83,22.7,1851.7,1535.41
193,2583.9,118.44,33.66,2736.0,1663.22
194,2342.47,112.32,30.52,2485.31,1593.15
195,1644.3,98.67,21.42,1764.39,983.49
196,1409.4,63.79,18.36,1491.55,1683.47
197,1357.2,70.34,17.68,1445.22,1129.96
198,1089.67,62.31,14.2,1166.18,1029.29
199,1781.32,82.51,23.2,1887.03,1646.62
200,2035.8,86.69,26.52,2149.01,1784.89
